"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Sep-2024","BE","38.35","39.85","38.20","38.29","39.80","39.65","39.18","50.40","27.05","1,61,521","63,29,091.93","527"
"12-Sep-2024","BE","38.86","38.86","37.99","38.07","38.50","38.29","38.25","50.40","27.05","81,111","31,02,535.17","319"
"11-Sep-2024","BE","38.57","38.90","38.00","38.57","38.33","38.07","38.36","50.40","27.05","64,894","24,89,264.41","379"
"10-Sep-2024","BE","38.47","38.91","38.19","38.47","38.57","38.57","38.48","50.40","27.05","70,823","27,25,450.10","407"
"09-Sep-2024","BE","38.40","39.90","38.07","38.95","38.32","38.47","38.54","50.40","27.05","61,293","23,62,348.93","452"
"06-Sep-2024","BE","39.60","39.85","38.50","39.25","39.00","38.95","39.00","50.40","27.05","96,034","37,45,615.60","550"
"05-Sep-2024","BE","39.90","40.00","38.86","39.15","39.48","39.25","39.35","50.40","27.05","89,435","35,19,166.16","482"
"04-Sep-2024","BE","38.80","39.94","38.35","39.01","39.50","39.15","39.43","50.40","27.05","94,596","37,30,057.23","536"
"03-Sep-2024","BE","39.59","40.15","38.26","39.59","39.15","39.01","39.18","50.40","27.05","1,14,163","44,72,679.00","596"
"02-Sep-2024","BE","40.50","40.50","39.10","40.63","39.69","39.59","39.91","50.40","27.05","1,82,653","72,90,017.37","904"
"30-Aug-2024","BE","40.55","40.63","40.00","38.70","40.63","40.63","40.56","50.40","27.05","3,59,923","1,45,98,340.67","933"
"29-Aug-2024","BE","39.05","39.65","38.40","39.05","38.84","38.70","38.87","50.40","27.05","66,457","25,83,295.85","445"
"28-Aug-2024","BE","39.17","39.98","38.11","38.79","39.15","39.05","39.28","50.40","27.05","1,09,536","43,02,940.69","499"
"27-Aug-2024","BE","39.08","39.50","38.50","39.08","38.63","38.79","38.77","50.40","27.05","79,575","30,85,051.53","434"
"26-Aug-2024","BE","40.40","40.40","38.70","39.67","39.01","39.08","39.17","50.40","27.05","82,220","32,20,416.78","581"
"23-Aug-2024","BE","40.20","40.20","39.20","39.02","39.84","39.67","39.78","50.40","27.05","82,315","32,74,341.57","493"
"22-Aug-2024","BE","38.99","40.00","38.26","38.81","39.40","39.02","39.36","50.40","27.05","1,57,787","62,09,923.81","637"
"21-Aug-2024","BE","39.00","39.38","38.31","38.28","38.95","38.81","38.84","50.40","27.05","68,658","26,66,610.34","409"
"20-Aug-2024","BE","38.89","38.89","37.75","38.46","38.75","38.28","38.41","50.40","27.05","88,071","33,82,801.85","461"
"19-Aug-2024","BE","38.25","39.00","37.90","37.63","39.00","38.46","38.53","50.40","27.05","96,559","37,20,870.97","521"
"16-Aug-2024","BE","38.11","38.80","37.35","37.86","37.50","37.63","37.86","50.40","27.05","66,089","25,02,233.85","442"
"14-Aug-2024","BE","39.09","39.09","37.60","38.45","38.10","37.86","38.24","50.40","27.05","58,127","22,22,579.01","453"
"13-Aug-2024","BE","39.20","39.45","38.00","38.40","39.00","38.45","38.80","50.40","27.05","1,13,929","44,20,894.09","702"
"12-Aug-2024","BE","37.99","38.99","37.00","37.99","38.65","38.40","38.01","50.40","27.05","95,822","36,41,846.49","722"
"09-Aug-2024","BE","37.10","39.00","37.10","38.15","38.28","37.99","37.91","50.40","27.05","1,76,552","66,92,524.55","751"
"08-Aug-2024","BE","39.75","39.75","37.60","39.01","37.70","38.15","38.79","50.40","27.05","84,961","32,95,986.54","634"
"07-Aug-2024","BE","37.75","39.15","37.29","37.29","39.15","39.01","38.13","50.40","27.05","1,43,000","54,52,942.75","808"
"06-Aug-2024","BE","38.69","40.00","36.85","38.67","37.00","37.29","38.48","50.40","27.05","1,79,162","68,94,965.00","958"
"05-Aug-2024","BE","38.70","40.30","38.64","40.68","38.90","38.67","39.05","50.40","27.05","2,57,995","1,00,75,062.18","1,647"
"02-Aug-2024","BE","41.10","41.27","40.25","41.06","41.00","40.68","40.65","50.40","25.80","1,13,399","46,09,493.59","766"
"01-Aug-2024","BE","41.57","42.27","41.00","41.72","41.05","41.06","41.39","50.40","25.80","1,12,845","46,70,450.08","708"
"31-Jul-2024","BE","41.61","42.39","41.51","41.61","41.65","41.72","41.84","50.40","25.80","1,18,137","49,42,459.76","553"
"30-Jul-2024","BE","42.00","42.33","40.97","41.89","41.50","41.61","41.49","50.40","25.80","1,67,449","69,46,998.74","815"
"29-Jul-2024","BE","42.50","42.90","41.30","42.04","42.10","41.89","42.29","50.40","25.80","1,33,405","56,41,360.79","796"
"26-Jul-2024","BE","41.78","42.50","41.26","41.76","42.05","42.04","41.90","50.40","25.80","1,82,648","76,53,533.74","800"
"25-Jul-2024","BE","41.00","42.49","40.12","41.69","42.10","41.76","41.85","50.40","25.80","1,68,796","70,64,384.00","749"
"24-Jul-2024","BE","40.90","42.49","40.00","41.02","41.90","41.69","41.78","50.40","25.80","1,92,760","80,53,136.59","783"
"23-Jul-2024","BE","41.30","42.10","39.30","41.27","41.25","41.02","41.01","50.40","25.80","1,80,068","73,85,302.72","880"
"22-Jul-2024","BE","41.17","42.38","40.40","41.17","41.50","41.27","41.30","50.40","25.80","1,55,596","64,26,507.26","838"
"19-Jul-2024","BE","42.80","42.99","41.00","42.38","41.00","41.17","41.60","50.40","25.55","1,87,300","77,92,362.88","898"
"18-Jul-2024","BE","43.77","43.80","41.60","43.06","42.30","42.38","42.68","50.40","25.55","2,86,604","1,22,31,625.07","1,134"
"16-Jul-2024","BE","43.18","43.97","42.56","43.18","43.20","43.06","43.25","50.40","25.55","1,34,776","58,28,635.60","711"
"15-Jul-2024","BE","44.50","44.50","42.80","44.81","43.48","43.18","43.21","50.40","25.55","3,16,327","1,36,68,110.78","1,287"
"12-Jul-2024","BE","45.60","46.50","44.00","45.67","44.40","44.81","45.00","50.40","25.55","2,30,225","1,03,59,181.13","1,126"
"11-Jul-2024","BE","44.80","45.96","42.55","43.87","45.60","45.67","44.89","50.40","25.55","7,13,184","3,20,16,987.58","2,283"
"10-Jul-2024","BE","44.00","44.90","41.15","43.22","43.55","43.87","43.88","50.40","25.55","4,48,625","1,96,85,797.34","1,612"
"09-Jul-2024","BE","41.38","43.22","41.17","41.17","43.22","43.22","42.82","50.40","25.55","2,46,369","1,05,48,603.53","1,006"
"08-Jul-2024","BE","42.59","43.20","40.38","42.51","41.49","41.17","41.59","50.40","25.55","4,65,899","1,93,77,393.59","2,015"
"05-Jul-2024","BE","42.80","43.20","41.55","42.88","42.75","42.51","42.44","50.40","25.55","1,95,135","82,82,348.67","922"
"04-Jul-2024","BE","43.14","44.50","42.80","43.28","42.90","42.88","43.12","50.40","25.55","2,03,715","87,84,178.88","1,028"
"03-Jul-2024","BE","43.49","44.80","43.15","43.14","43.25","43.28","43.80","50.40","25.55","2,32,234","1,01,71,592.85","1,002"
"02-Jul-2024","BE","43.74","43.75","42.50","43.25","43.00","43.14","43.12","50.40","25.55","1,28,786","55,53,641.40","738"
"01-Jul-2024","BE","43.45","43.55","42.30","42.67","43.28","43.25","43.07","50.40","25.55","2,03,226","87,52,106.24","1,007"
